candidate_id,first_name,last_name,email,phone,location_city,location_country,current_company,current_title,linkedin_url,created_date
CAND-0013,Petra,Smirnov,petra.smirnov@gmail.com,,Warsaw,Poland,SEB,Senior HR Business Partner,linkedin.com/in/petra-smirnov-379,2025-03-22
CAND-0014,Damian,Kozlowski,damian.kozlowski@gmail.com,,Hamburg,Germany,Miniclip,Senior Engineering Manager,linkedin.com/in/damian-kozlowski-538,2024-05-18
CAND-0015,Vladislav,Petrov,vladislav.petrov@gmail.com,9568413953,Warsaw,Poland,SEB,FP&A Manager,linkedin.com/in/vladislav-petrov-183,2025-04-26
CAND-0016,Vaida,Levinskas,vaida.levinskas@protonmail.com,+1-772-542-3884x9696,Gdansk,Poland,King,Head of Engineering,,2024-06-05
CAND-0017,Jonas,Radzevicius,jonas.radzevicius@gmail.com,(387)810-1226,Warsaw,Poland,Danske Bank,Senior Data Analyst,,2024-06-16
CAND-0018,Aleksander,Kovacs,aleksander.kovacs@yahoo.com,(897)484-8018x4514,Gdansk,Poland,Swedbank,Performance Marketing Manager,linkedin.com/in/aleksander-kovacs-891,2024-11-04
CAND-0019,Anastasia,Fedorov,anastasia.fedorov@gmail.com,704.482.8148x932,Kaunas,Lithuania,Danske Bank,Lead UX Researcher,linkedin.com/in/anastasia-fedorov-530,2025-05-16
CAND-0020,Gabija,Stonkus,gabija.stonkus@outlook.com,+1-680-595-7015,Krakow,Poland,Freelance,Senior FP&A Analyst,linkedin.com/in/gabija-stonkus-945,2024-10-01
CAND-0021,Piotr,Kowalczyk,piotr.kowalczyk@outlook.com,4399117182,Berlin,Germany,Miniclip,Compensation and Benefits Analyst,,2024-07-05
CAND-0022,Tomasz,Lewandowski,tomasz.lewandowski@gmail.com,,London,United Kingdom,Personio,Senior Frontend Engineer,linkedin.com/in/tomasz-lewandowski-837,2025-02-20
CAND-0023,Joanna,Szymanski,joanna.szymanski@protonmail.com,+1-624-889-6383,Berlin,Germany,Playtika,Product Designer,linkedin.com/in/joanna-szymanski-413,2025-01-12
CAND-0024,Natalia,Kozlowski,natalia.kozlowski@yahoo.com,+1-557-287-1331x50983,London,United Kingdom,Personio,Financial Analyst,,2024-11-19
CAND-0025,Greta,Gudas,greta.gudas@gmail.com,603-910-5183,Warsaw,Poland,EA Games,Head of Finance,linkedin.com/in/greta-gudas-469,2024-07-02
CAND-0026,Karolina,Kowalczyk,karolina.kowalczyk@gmail.com,,Krakow,Poland,Adform,Legal Counsel,linkedin.com/in/karolina-kowalczyk-580,2025-05-05
CAND-0027,Mateusz,Kowalczyk,mateusz.kowalczyk@outlook.com,582.399.7376,Vilnius,Lithuania,DXC Technology,Senior Product Manager,linkedin.com/in/mateusz-kowalczyk-930,2024-11-07
CAND-0028,Vilius,Levinskas,vilius.levinskas@yahoo.com,865-766-7010,Hamburg,Germany,EPAM Systems,HR Business Partner,linkedin.com/in/vilius-levinskas-857,2024-04-11
CAND-0029,Nikita,Kovacs,nikita.kovacs@protonmail.com,633-938-7262,Warsaw,Poland,Paddle,Product Designer,linkedin.com/in/nikita-kovacs-708,2025-04-26
CAND-0030,Mindaugas,Daunoras,mindaugas.daunoras@gmail.com,517.481.0801,Wroclaw,Poland,Jam City,Senior CRM Manager,linkedin.com/in/mindaugas-daunoras-252,2024-09-29
CAND-0031,Jack,Walker,jack.walker@gmail.com,(977)436-0260x64746,Riga,Latvia,Devbridge,Compliance Specialist,linkedin.com/in/jack-walker-378,2025-05-27
CAND-0032,Bohdan,Kovalenko,bohdan.kovalenko@outlook.com,243.909.8050,Tallinn,Estonia,Playtika,UX Researcher,,2024-01-22
CAND-0033,Mirela,Fedorov,mirela.fedorov@gmail.com,,Vilnius,Lithuania,TrueLayer,Head of Legal,,2025-03-22
CAND-0034,Natalia,Oliynyk,natalia.oliynyk@gmail.com,582.208.1219x13619,Warsaw,Poland,Nord Security,Analytics Engineer,linkedin.com/in/natalia-oliynyk-510,2024-02-07
CAND-0035,Adam,Nowak,adam.nowak@outlook.com,,Riga,Latvia,Wargaming,Senior Legal Counsel,linkedin.com/in/adam-nowak-737,2025-05-25
CAND-0036,Iryna,Tkachenko,iryna.tkachenko@yahoo.com,+1-816-499-8543x534,Warsaw,Poland,DXC Technology,UX Researcher,linkedin.com/in/iryna-tkachenko-345,2024-06-11
CAND-0037,Rafal,Nowak,rafal.nowak@gmail.com,,Hamburg,Germany,LMT,Senior Product Designer,linkedin.com/in/rafal-nowak-833,2024-10-25
CAND-0038,Mykhailo,Oliynyk,mykhailo.oliynyk@outlook.com,+1-647-451-0799x11838,Krakow,Poland,SEB,Senior Marketing Manager,,2024-10-09
CAND-0039,Emma,Clark,emma.clark@yahoo.com,(613)354-2784x980,Vilnius,Lithuania,EPAM Systems,Senior Legal Manager,linkedin.com/in/emma-clark-453,2024-12-06
CAND-0040,Svitlana,Kravchenko,svitlana.kravchenko@gmail.com,,Warsaw,Poland,SEB,Senior Marketing Manager,linkedin.com/in/svitlana-kravchenko-862,2025-04-29
CAND-0041,Hannah,Richter,hannah.richter@protonmail.com,,Berlin,Germany,King,Data Scientist,,2025-03-26
CAND-0042,Inga,Stonkus,inga.stonkus@outlook.com,,Gdansk,Poland,Bolt,Compliance Manager,linkedin.com/in/inga-stonkus-809,2025-02-11
CAND-0043,Mariya,Shevchuk,mariya.shevchuk@outlook.com,,Tallinn,Estonia,DXC Technology,Senior Frontend Engineer,linkedin.com/in/mariya-shevchuk-394,2024-08-20
CAND-0044,Jonas,Koch,jonas.koch@protonmail.com,(541)718-2449,Vilnius,Lithuania,Revolut,Senior Finance Manager,linkedin.com/in/jonas-koch-157,2024-10-27
CAND-0045,Krzysztof,Wozniak,krzysztof.wozniak@outlook.com,248.274.0164,Riga,Latvia,Revolut,Analytics Engineer,linkedin.com/in/krzysztof-wozniak-346,2025-05-24
CAND-0046,Tiberiu,Kovacs,tiberiu.kovacs@outlook.com,724-427-8680x11280,Vilnius,Lithuania,LMT,Senior Financial Analyst,linkedin.com/in/tiberiu-kovacs-453,2024-11-02
CAND-0047,Ivan,Oliynyk,ivan.oliynyk@gmail.com,(420)545-0533x15869,Kaunas,Lithuania,Cognizant,UX Researcher,linkedin.com/in/ivan-oliynyk-402,2024-10-29
CAND-0048,Egle,Mockus,egle.mockus@gmail.com,(426)302-5634,London,United Kingdom,Vinted,Senior Legal Manager,,2024-08-23
CAND-0049,Yaroslav,Bondarenko,yaroslav.bondarenko@yahoo.com,(707)633-7543x3036,Kyiv,Ukraine,,,linkedin.com/in/yaroslav-bondarenko-240,2024-04-09
CAND-0050,Mirela,Smirnov,mirela.smirnov@gmail.com,645-486-8501,Kyiv,Ukraine,Pipedrive,FP&A Analyst,linkedin.com/in/mirela-smirnov-235,2025-01-09
CAND-0051,Oksana,Tkachenko,oksana.tkachenko@outlook.com,,Warsaw,Poland,CGI,Senior Product Manager,linkedin.com/in/oksana-tkachenko-331,2025-02-10
CAND-0052,Zsuzsanna,Ionescu,zsuzsanna.ionescu@outlook.com,001-340-819-6556,Krakow,Poland,LMT,Trust and Safety Lead,linkedin.com/in/zsuzsanna-ionescu-490,2025-01-15
CAND-0053,Tomas,Noreika,tomas.noreika@gmail.com,,Warsaw,Poland,Bolt,Head of Compliance,linkedin.com/in/tomas-noreika-219,2024-05-23
CAND-0054,Rokas,Paulauskas,rokas.paulauskas@gmail.com,001-734-806-0883,Krakow,Poland,SEB,Senior Compliance Manager,linkedin.com/in/rokas-paulauskas-844,2024-06-07
CAND-0055,Kinga,Fedorov,kinga.fedorov@outlook.com,,Warsaw,Poland,Danske Bank,Senior Growth Manager,,2024-04-11
CAND-0056,Rafal,Popescu,rafal.popescu@outlook.com,759-851-4846,Gdansk,Poland,LMT,Senior Product Manager,linkedin.com/in/rafal-popescu-441,2024-09-06
CAND-0057,Oksana,Ionescu,oksana.ionescu@yahoo.com,001-248-623-6629x946,Vilnius,Lithuania,N26,Trust and Safety Lead,linkedin.com/in/oksana-ionescu-979,2024-05-28
CAND-0058,Daria,Ionescu,daria.ionescu@protonmail.com,,Vilnius,Lithuania,Atea,Senior Growth Manager,linkedin.com/in/daria-ionescu-153,2024-05-09
CAND-0059,Nicole,Schmidt,nicole.schmidt@outlook.com,336-699-5777x3872,Kaunas,Lithuania,EA Games,Senior Product Designer,,2024-02-14
CAND-0060,Katharina,Schulz,katharina.schulz@gmail.com,395.913.4332x00379,Gdansk,Poland,Vinted,Senior Legal Manager,linkedin.com/in/katharina-schulz-602,2025-03-30
CAND-0061,Matas,Jankauskas,matas.jankauskas@gmail.com,(993)267-6320x16328,Tallinn,Estonia,Paddle,Partner Operations Manager,linkedin.com/in/matas-jankauskas-719,2025-03-16
CAND-0062,Jolanta,Ambrazas,jolanta.ambrazas@outlook.com,,Kaunas,Lithuania,LMT,HR Business Partner,linkedin.com/in/jolanta-ambrazas-420,2024-09-18
CAND-0063,Maciej,Nowak,maciej.nowak@gmail.com,,Vilnius,Lithuania,Nord Security,Operations Manager,linkedin.com/in/maciej-nowak-675,2024-12-03
CAND-0064,Michael,Hartmann,michael.hartmann@protonmail.com,+1-731-972-7889,Warsaw,Poland,EPAM Systems,Trust and Safety Analyst,linkedin.com/in/michael-hartmann-772,2025-05-08
CAND-0065,Saulius,Paulauskas,saulius.paulauskas@gmail.com,+1-986-587-2774x348,Riga,Latvia,Paddle,Staff Engineer,,2024-09-30
CAND-0066,Mindaugas,Stankus,mindaugas.stankus@gmail.com,571-843-4558x122,Amsterdam,Netherlands,Ubisoft,HR Business Partner,linkedin.com/in/mindaugas-stankus-643,2024-08-08
CAND-0067,Kamil,Lewandowski,kamil.lewandowski@gmail.com,001-823-816-6587x603,Kyiv,Ukraine,Ubisoft,Senior Product Lead,linkedin.com/in/kamil-lewandowski-732,2024-02-20
CAND-0068,Michael,Becker,michael.becker@yahoo.com,001-590-996-7054x66889,Warsaw,Poland,Barclays Technology,Senior Product Manager,linkedin.com/in/michael-becker-794,2025-05-13
CAND-0069,Mykola,Kovalchuk,mykola.kovalchuk@yahoo.com,946.470.6562,Vilnius,Lithuania,Delivery Hero,Analytics Manager,linkedin.com/in/mykola-kovalchuk-107,2025-05-24
CAND-0070,Stefan,Schulz,stefan.schulz@protonmail.com,+1-280-669-9016x272,Krakow,Poland,,,,2024-03-14
CAND-0071,Natalia,Kowalski,natalia.kowalski@outlook.com,,Amsterdam,Netherlands,Ubisoft,Senior TA Specialist,linkedin.com/in/natalia-kowalski-514,2024-01-22
CAND-0072,Janos,Smirnov,janos.smirnov@protonmail.com,,Vilnius,Lithuania,Nord Security,Senior Performance Marketer,linkedin.com/in/janos-smirnov-505,2024-11-13
CAND-0073,Julian,Schmidt,julian.schmidt@yahoo.com,(253)775-5646x4170,Krakow,Poland,Zalando,Operations Specialist,linkedin.com/in/julian-schmidt-249,2024-09-19
CAND-0074,Viktorija,Butkus,viktorija.butkus@protonmail.com,510.403.3092,Kyiv,Ukraine,EA Games,Compliance Manager,,2024-11-19
CAND-0075,Erikas,Rimkus,erikas.rimkus@gmail.com,319.237.4529x9124,Kaunas,Lithuania,Bolt,Senior Financial Analyst,linkedin.com/in/erikas-rimkus-951,2024-10-20
CAND-0076,Viktorija,Kairys,viktorija.kairys@outlook.com,296-763-1931x4919,Krakow,Poland,King,Head of Legal,linkedin.com/in/viktorija-kairys-587,2025-05-28
CAND-0077,Jonas,Stankus,jonas.stankus@protonmail.com,+1-365-818-5067,Tallinn,Estonia,King,Growth Lead,linkedin.com/in/jonas-stankus-724,2024-06-11
CAND-0078,Natalia,Zielinski,natalia.zielinski@gmail.com,(672)762-8498x776,Vilnius,Lithuania,Jam City,Customer Support Specialist,linkedin.com/in/natalia-zielinski-495,2024-10-17
CAND-0079,Agne,Stankus,agne.stankus@gmail.com,714.273.7996,Vilnius,Lithuania,Atea,Finance Director,linkedin.com/in/agne-stankus-825,2024-03-27
CAND-0080,Adam,Mazur,adam.mazur@gmail.com,552.373.5454x9480,Riga,Latvia,TrueLayer,Principal Product Manager,linkedin.com/in/adam-mazur-118,2025-01-06
CAND-0081,Monika,Jankowski,monika.jankowski@outlook.com,367.683.7770,Kharkiv,Ukraine,Tesonet,Product Manager,linkedin.com/in/monika-jankowski-652,2025-06-23
CAND-0082,Matas,Zukauskas,matas.zukauskas@gmail.com,763.849.5788,Riga,Latvia,Miniclip,Senior Data Analyst,linkedin.com/in/matas-zukauskas-792,2024-08-31
CAND-0083,Kinga,Toth,kinga.toth@yahoo.com,001-485-557-4443x1351,Gdansk,Poland,Cognizant,Brand Manager,,2025-04-17
CAND-0084,Hannah,Thomas,hannah.thomas@outlook.com,,Riga,Latvia,Zynga,Senior Analytics Manager,linkedin.com/in/hannah-thomas-995,2025-01-15
CAND-0085,Mykhailo,Shevchuk,mykhailo.shevchuk@gmail.com,674.598.9413,Kyiv,Ukraine,Personio,Head of Legal,,2024-04-03
CAND-0086,Tiberiu,Ivanov,tiberiu.ivanov@gmail.com,(924)308-2400x842,Kaunas,Lithuania,Danske Bank,Growth Manager,linkedin.com/in/tiberiu-ivanov-128,2024-11-22
CAND-0087,Zsuzsanna,Nagy,zsuzsanna.nagy@gmail.com,6949777520,Hamburg,Germany,Cognizant,Analytics Manager,linkedin.com/in/zsuzsanna-nagy-105,2024-03-22
CAND-0088,Matas,Noreika,matas.noreika@protonmail.com,616-371-9022,Kaunas,Lithuania,Devbridge,Growth Manager,linkedin.com/in/matas-noreika-754,2025-04-13
CAND-0089,Lina,Noreika,lina.noreika@gmail.com,818.969.9938,Krakow,Poland,Tesonet,Management Accountant,linkedin.com/in/lina-noreika-684,2025-03-02
CAND-0090,Vaida,Jankauskas,vaida.jankauskas@yahoo.com,649.364.9909x133,Kyiv,Ukraine,Barclays Technology,DevOps Engineer,linkedin.com/in/vaida-jankauskas-496,2025-01-17
CAND-0091,Lukas,Urbonas,lukas.urbonas@gmail.com,(932)681-2067,Tallinn,Estonia,EA Games,Operations Analyst,linkedin.com/in/lukas-urbonas-933,2024-06-28
CAND-0092,Kinga,Nagy,kinga.nagy@gmail.com,5348471349,Kyiv,Ukraine,LMT,Backend Engineer,,2024-02-12
CAND-0093,Damian,Mazur,damian.mazur@yahoo.com,683-624-2102,Vilnius,Lithuania,Freelance,Growth Manager,,2024-12-05
CAND-0094,Aiste,Zukauskas,aiste.zukauskas@protonmail.com,217.846.4887x719,Gdansk,Poland,CGI,Senior Analytics Engineer,linkedin.com/in/aiste-zukauskas-916,2025-06-15
CAND-0095,Vilius,Jankauskas,vilius.jankauskas@outlook.com,001-459-940-1399x0490,Riga,Latvia,Checkout.com,Financial Analyst,linkedin.com/in/vilius-jankauskas-402,2024-11-09
CAND-0096,Karolina,Kozlowski,karolina.kozlowski@outlook.com,474.729.6717x56551,Vilnius,Lithuania,Atea,HR Business Partner,linkedin.com/in/karolina-kozlowski-752,2025-02-19
CAND-0097,Magdalena,Wisniewski,magdalena.wisniewski@gmail.com,(274)968-0715x45168,Tallinn,Estonia,Bite,Frontend Engineer,,2025-01-10
CAND-0098,Anna,Kaminski,anna.kaminski@gmail.com,(903)985-9770x34824,Wroclaw,Poland,Danske Bank,Legal Manager,linkedin.com/in/anna-kaminski-507,2024-11-17
CAND-0099,Dmytro,Kovalenko,dmytro.kovalenko@protonmail.com,809-332-4808,Berlin,Germany,Paddle,Product Designer,,2024-08-07
CAND-0100,Tiberiu,Toth,tiberiu.toth@gmail.com,817.912.7484,Vilnius,Lithuania,Wise,Head of Compliance,linkedin.com/in/tiberiu-toth-826,2024-03-07
CAND-0101,Ivan,Shevchenko,ivan.shevchenko@protonmail.com,737.682.6398x2146,London,United Kingdom,Wise,Senior Customer Support Specialist,,2024-05-22
CAND-0102,Vaida,Noreika,vaida.noreika@yahoo.com,9447997278,Riga,Latvia,Paddle,Senior Data Analyst,linkedin.com/in/vaida-noreika-507,2025-05-05
CAND-0103,Alina,Melnyk,alina.melnyk@gmail.com,,Tallinn,Estonia,Bite,Compliance Manager,linkedin.com/in/alina-melnyk-948,2024-07-05
CAND-0104,William,Clark,william.clark@gmail.com,,Berlin,Germany,EPAM Systems,Data Engineer,linkedin.com/in/william-clark-631,2024-10-17
CAND-0105,Bence,Kovacs,bence.kovacs@gmail.com,988-867-5339x63605,Tallinn,Estonia,Pipedrive,Senior Data Engineer,linkedin.com/in/bence-kovacs-739,2024-12-11
CAND-0106,Elena,Ionescu,elena.ionescu@gmail.com,,Kyiv,Ukraine,SumUp,Growth Lead,linkedin.com/in/elena-ionescu-131,2025-05-24
CAND-0107,Mirela,Smirnov,mirela.smirnov1@gmail.com,,London,United Kingdom,EPAM Systems,Legal Counsel,linkedin.com/in/mirela-smirnov-525,2025-05-10
CAND-0108,Bartosz,Lewandowski,bartosz.lewandowski@protonmail.com,(227)402-8951x7187,Lviv,Ukraine,Atea,L&D Specialist,linkedin.com/in/bartosz-lewandowski-208,2024-11-22
CAND-0109,Erikas,Levinskas,erikas.levinskas@gmail.com,(221)374-5961x58657,Warsaw,Poland,SEB,Talent Acquisition Specialist,,2024-11-16
CAND-0110,Dovydas,Daunoras,dovydas.daunoras@outlook.com,,Berlin,Germany,Pipedrive,Senior HR Business Partner,linkedin.com/in/dovydas-daunoras-461,2024-02-19
CAND-0111,Lina,Rimkus,lina.rimkus@yahoo.com,643.216.1172,Vilnius,Lithuania,Adform,Senior FP&A Analyst,linkedin.com/in/lina-rimkus-510,2024-02-22
CAND-0112,Taras,Tkachenko,taras.tkachenko@gmail.com,8504455623,Berlin,Germany,Paddle,Finance Manager,linkedin.com/in/taras-tkachenko-199,2025-02-07
CAND-0113,Ewelina,Wisniewski,ewelina.wisniewski@gmail.com,(421)596-9379,Kaunas,Lithuania,King,Junior QA Engineer,,2025-06-15
CAND-0114,Aleksandra,Wisniewski,aleksandra.wisniewski@gmail.com,,Warsaw,Poland,Swedbank,Senior FP&A Analyst,,2024-11-02
CAND-0115,Adam,Dabrowska,adam.dabrowska@gmail.com,,Krakow,Poland,Jam City,Senior Mobile Engineer,,2024-08-21
CAND-0116,Laura,Schulz,laura.schulz@protonmail.com,647.840.7482x175,Kyiv,Ukraine,SEB,Data Engineering Manager,linkedin.com/in/laura-schulz-817,2024-04-22
CAND-0117,Vilius,Stonkus,vilius.stonkus@outlook.com,001-647-643-6713x695,Kaunas,Lithuania,Miniclip,Senior Legal Manager,,2025-06-15
CAND-0118,Rokas,Kairys,rokas.kairys@outlook.com,5647090974,Vilnius,Lithuania,Checkout.com,Partner Operations Manager,linkedin.com/in/rokas-kairys-296,2024-09-09
CAND-0119,Mindaugas,Rimkus,mindaugas.rimkus@protonmail.com,239.742.1047,London,United Kingdom,Accenture,Senior Compliance Manager,linkedin.com/in/mindaugas-rimkus-687,2025-01-23
CAND-0120,Rafal,Nagy,rafal.nagy@gmail.com,001-621-445-6232x8588,Gdansk,Poland,Pipedrive,Senior Operations Manager,,2024-08-07
CAND-0121,Laura,Stonkus,laura.stonkus@gmail.com,374-851-7123x685,Krakow,Poland,Contentful,Security Engineer,linkedin.com/in/laura-stonkus-338,2024-02-23
CAND-0122,Rokas,Paulauskas,rokas.paulauskas@protonmail.com,,Vilnius,Lithuania,Paddle,Senior Analytics Engineer,linkedin.com/in/rokas-paulauskas-304,2024-10-21
CAND-0123,Ewelina,Nowak,ewelina.nowak@protonmail.com,7483175496,Krakow,Poland,King,Senior Data Engineer,,2024-02-07
CAND-0124,Tiberiu,Nagy,tiberiu.nagy@protonmail.com,,Wroclaw,Poland,King,QA Engineer,linkedin.com/in/tiberiu-nagy-443,2024-10-18
CAND-0125,Aleksandra,Szymanski,aleksandra.szymanski@gmail.com,,Berlin,Germany,Zalando,Principal Product Manager,linkedin.com/in/aleksandra-szymanski-835,2024-07-09
CAND-0126,Mindaugas,Radzevicius,mindaugas.radzevicius@protonmail.com,,Vilnius,Lithuania,Jam City,TA Manager,linkedin.com/in/mindaugas-radzevicius-785,2024-04-07
CAND-0127,Rytis,Levinskas,rytis.levinskas@gmail.com,+1-437-209-8593x17461,Warsaw,Poland,Personio,Senior Customer Support Specialist,linkedin.com/in/rytis-levinskas-468,2024-08-29
CAND-0128,Mindaugas,Butkus,mindaugas.butkus@outlook.com,9477113826,Wroclaw,Poland,EPAM Systems,Lead UX Researcher,linkedin.com/in/mindaugas-butkus-326,2024-08-12
CAND-0129,Tiberiu,Fedorov,tiberiu.fedorov@gmail.com,+1-986-992-6179x64053,Krakow,Poland,Cognizant,Marketing Manager,linkedin.com/in/tiberiu-fedorov-640,2025-01-05
CAND-0130,Ruta,Noreika,ruta.noreika@yahoo.com,551.358.5064,Krakow,Poland,Revolut,Customer Support Manager,linkedin.com/in/ruta-noreika-310,2025-05-15
CAND-0131,Ruta,Daunoras,ruta.daunoras@gmail.com,513.590.0532x931,Berlin,Germany,Vinted,Compliance Manager,,2025-02-09
CAND-0132,Domantas,Radzevicius,domantas.radzevicius@gmail.com,652.490.4228,Kaunas,Lithuania,Bolt,Senior Engineering Manager,,2025-04-28
CAND-0133,Matas,Ambrazas,matas.ambrazas@gmail.com,,Kaunas,Lithuania,SEB,Talent Acquisition Specialist,linkedin.com/in/matas-ambrazas-456,2024-05-01
CAND-0134,Agne,Levinskas,agne.levinskas@gmail.com,,Lviv,Ukraine,LMT,Senior HR Business Partner,linkedin.com/in/agne-levinskas-454,2024-06-07
CAND-0135,Monika,Petrauskas,monika.petrauskas@protonmail.com,402-605-3950,Kyiv,Ukraine,Playtika,Growth Manager,linkedin.com/in/monika-petrauskas-557,2024-02-19
CAND-0136,Erikas,Levinskas,erikas.levinskas@yahoo.com,3269811775,Amsterdam,Netherlands,Vinted,Data Scientist,linkedin.com/in/erikas-levinskas-849,2024-11-22
CAND-0137,Tetyana,Bondarenko,tetyana.bondarenko@gmail.com,,Lviv,Ukraine,TrueLayer,Senior Performance Marketer,linkedin.com/in/tetyana-bondarenko-705,2024-06-28
CAND-0138,Volodymyr,Kovalenko,volodymyr.kovalenko@gmail.com,,London,United Kingdom,TrueLayer,Senior Operations Specialist,linkedin.com/in/volodymyr-kovalenko-485,2024-07-07
CAND-0139,Matthew,Brown,matthew.brown@gmail.com,,Vilnius,Lithuania,LMT,Senior DevOps Engineer,linkedin.com/in/matthew-brown-237,2025-02-01
CAND-0140,Lukas,Daunoras,lukas.daunoras@gmail.com,939.308.4700x76617,London,United Kingdom,Zalando,Platform Engineer,linkedin.com/in/lukas-daunoras-140,2024-03-15
CAND-0141,Jolanta,Grigas,jolanta.grigas@gmail.com,,Warsaw,Poland,Wargaming,Head of Growth,,2025-05-05
CAND-0142,Oksana,Petrov,oksana.petrov@gmail.com,759-821-2499,Kyiv,Ukraine,SEB,Senior Compliance Manager,linkedin.com/in/oksana-petrov-468,2025-06-09
CAND-0143,Tiberiu,Ivanov,tiberiu.ivanov1@gmail.com,+1-984-578-9611x836,Kaunas,Lithuania,Ubisoft,Marketing Manager,linkedin.com/in/tiberiu-ivanov-698,2025-03-03
CAND-0144,Edvinas,Zukauskas,edvinas.zukauskas@yahoo.com,,Berlin,Germany,Freelance,Fraud Analyst,,2025-05-17
CAND-0145,Monika,Wisniewski,monika.wisniewski@gmail.com,(357)366-1565x45271,Berlin,Germany,Checkout.com,Senior Backend Engineer,,2024-02-19
CAND-0146,Matthew,Hughes,matthew.hughes@gmail.com,761-352-8098,Vilnius,Lithuania,Delivery Hero,Senior Compliance Manager,linkedin.com/in/matthew-hughes-116,2024-01-07
CAND-0147,Oleksiy,Shevchuk,oleksiy.shevchuk@protonmail.com,(556)304-9451x98327,Lviv,Ukraine,Playtika,HR Manager,linkedin.com/in/oleksiy-shevchuk-198,2025-06-20
CAND-0148,Dovydas,Mockus,dovydas.mockus@gmail.com,(285)614-9368x998,Kaunas,Lithuania,Danske Bank,Senior HR Business Partner,,2024-08-19
CAND-0149,Viktorija,Petrauskas,viktorija.petrauskas@gmail.com,8243455022,Kaunas,Lithuania,Cognizant,Staff Engineer,linkedin.com/in/viktorija-petrauskas-611,2025-03-20
CAND-0150,Mykhailo,Melnyk,mykhailo.melnyk@yahoo.com,,Warsaw,Poland,Ubisoft,Senior Legal Counsel,linkedin.com/in/mykhailo-melnyk-387,2024-02-03
CAND-0151,Inga,Gudas,inga.gudas@yahoo.com,(401)783-6675,Riga,Latvia,Swedbank,UX Researcher,linkedin.com/in/inga-gudas-954,2025-02-02
CAND-0152,Hannah,Koch,hannah.koch@protonmail.com,859-991-0229x0147,Lviv,Ukraine,Pipedrive,Operations Analyst,linkedin.com/in/hannah-koch-177,2024-12-14
CAND-0153,Alina,Kovalchuk,alina.kovalchuk@gmail.com,+1-976-643-8156x149,Warsaw,Poland,Bite,Senior Compliance Manager,linkedin.com/in/alina-kovalchuk-796,2025-01-24
CAND-0154,Kristina,Jankauskas,kristina.jankauskas@gmail.com,4366900343,Kaunas,Lithuania,Jam City,Data Scientist,linkedin.com/in/kristina-jankauskas-193,2024-01-06
CAND-0155,Vladislav,Ionescu,vladislav.ionescu@gmail.com,751-307-6226x8388,Kaunas,Lithuania,Paddle,HR Business Partner,linkedin.com/in/vladislav-ionescu-195,2024-11-28
CAND-0156,Marius,Petrov,marius.petrov@gmail.com,(306)807-1596x9664,Krakow,Poland,Contentful,Senior Data Engineer,linkedin.com/in/marius-petrov-408,2024-10-01
CAND-0157,Rafal,Kowalczyk,rafal.kowalczyk@outlook.com,5528975161,Kyiv,Ukraine,Danske Bank,Senior Finance Manager,linkedin.com/in/rafal-kowalczyk-300,2025-04-13
CAND-0158,Tadas,Stankus,tadas.stankus@yahoo.com,001-468-316-4535,Amsterdam,Netherlands,Bite,Operations Specialist,linkedin.com/in/tadas-stankus-717,2024-07-24
